company_name,ticker,cik,fiscal_year,period_start,period_end,revenue_usd,net_income_usd,form,unit,revenue_concept,net_income_concept,revenue_duration_days,net_income_duration_days,revenue_filed,net_income_filed,revenue_accn,net_income_accn,source
Apple Inc.,AAPL,0000320193,2021,2020-09-27,2021-09-25,365817000000,94680000000,10-K,USD,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,364,364,2023-11-03,2023-11-03,0000320193-23-000106,0000320193-23-000106,SEC EDGAR companyfacts
Apple Inc.,AAPL,0000320193,2022,2021-09-26,2022-09-24,394328000000,99803000000,10-K,USD,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,364,364,2024-11-01,2024-11-01,0000320193-24-000123,0000320193-24-000123,SEC EDGAR companyfacts
Apple Inc.,AAPL,0000320193,2023,2022-09-25,2023-09-30,383285000000,96995000000,10-K,USD,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,371,371,2025-10-31,2025-10-31,0000320193-25-000079,0000320193-25-000079,SEC EDGAR companyfacts
Apple Inc.,AAPL,0000320193,2024,2023-10-01,2024-09-28,391035000000,93736000000,10-K,USD,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,364,364,2025-10-31,2025-10-31,0000320193-25-000079,0000320193-25-000079,SEC EDGAR companyfacts
Apple Inc.,AAPL,0000320193,2025,2024-09-29,2025-09-27,416161000000,112010000000,10-K,USD,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,364,364,2025-10-31,2025-10-31,0000320193-25-000079,0000320193-25-000079,SEC EDGAR companyfacts
